location_level_1,location_level_2,location_level_3,location_group
Kuala Lumpur,Ampang,,
Kuala Lumpur,Ampang Hilir,,
Kuala Lumpur,Bandar Damai Perdana,,
Kuala Lumpur,Bandar Menjalara,,
Kuala Lumpur,Bandar Tasik Selatan,,
Kuala Lumpur,Bangsar,,
Kuala Lumpur,Batu Caves,,
Kuala Lumpur,Brickfields,,
Kuala Lumpur,Bukit Bintang,,
Kuala Lumpur,Bukit Jalil,,
Kuala Lumpur,Bukit Kiara,,
Kuala Lumpur,Bukit Ledang,,
Kuala Lumpur,Bukit Tunku (Kenny Hills),,
Kuala Lumpur,Chan Sow Lin,,
Kuala Lumpur,Cheras,,
Kuala Lumpur,City Centre,,
Kuala Lumpur,Country Heights Damansara,,
Kuala Lumpur,Damansara,,
Kuala Lumpur,Damansara Heights,,
Kuala Lumpur,Desa Pandan,,
Kuala Lumpur,Desa ParkCity,,
Kuala Lumpur,Desa Petaling,,
Kuala Lumpur,Dutamas,,
Kuala Lumpur,Federal Hill,,
Kuala Lumpur,Jalan Ipoh,,
Kuala Lumpur,Jalan Klang Lama (Old Klang Road),,
Kuala Lumpur,Jalan Kuching,,
Kuala Lumpur,Jalan Sultan Ismail,,
Kuala Lumpur,Jinjang,,
Kuala Lumpur,Kampung Kerinchi (Bangsar South),,
Kuala Lumpur,Kepong,,
Kuala Lumpur,Keramat,,
Kuala Lumpur,KL City,,
Kuala Lumpur,KL Eco City,,
Kuala Lumpur,KL Sentral,,
Kuala Lumpur,KLCC,,
Kuala Lumpur,Kuchai Lama,,
Kuala Lumpur,Mid Valley City,,
Kuala Lumpur,Mont Kiara,,
Kuala Lumpur,OUG,,
Kuala Lumpur,Pandan Indah,,
Kuala Lumpur,Pandan Jaya,,
Kuala Lumpur,Pandan Perdana,,
Kuala Lumpur,Pantai,,
Kuala Lumpur,Puchong,,
Kuala Lumpur,Salak Selatan,,
Kuala Lumpur,Segambut,,
Kuala Lumpur,Sentul,,
Kuala Lumpur,Seputeh,,
Kuala Lumpur,Setapak,,
Kuala Lumpur,Setiawangsa,,
Kuala Lumpur,Sri Hartamas,,
Kuala Lumpur,Sri Petaling,,
Kuala Lumpur,Sungai Besi,,
Kuala Lumpur,Sungai Penchala,,
Kuala Lumpur,Sunway SPK,,
Kuala Lumpur,Taman Desa,,
Kuala Lumpur,Taman Duta,,
Kuala Lumpur,Taman Melawati,,
Kuala Lumpur,Taman Tun Dr Ismail,,
Kuala Lumpur,Titiwangsa,,
Kuala Lumpur,Wangsa Maju,,
Johor,Ayer Baloi,,
Johor,Ayer Hitam,,
Johor,Bakri,,
Johor,Batu Anam,,
Johor,Batu Pahat,,
Johor,Bekok,,
Johor,Benut,,
Johor,Bukit Gambir,,
Johor,Bukit Pasir,,
Johor,Bukit Serampang,,
Johor,Chaah,,
Johor,Endau,,
Johor,Gelang Patah,,
Johor,Gerisek,,
Johor,Gugusan Taib Andak,,
Johor,Horizon Hills,,
Johor,Iskandar Puteri (Nusajaya),,
Johor,Jementah,,
Johor,Johor Bahru,,
Johor,Kahang,,
Johor,Kampung Kenangan Tun Dr Ismail,,
Johor,Kluang,,
Johor,Kota Tinggi,,
Johor,Kukup,,
Johor,Kulai,,
Johor,Labis,,
Johor,Layang Layang,,
Johor,Masai,,
Johor,Medini,,
Johor,Mersing,,
Johor,Muar,,
Johor,Pagoh,,
Johor,Paloh,,
Johor,Panchor,,
Johor,Parit Jawa,,
Johor,Parit Raja,,
Johor,Parit Sulong,,
Johor,Pasir Gudang,,
Johor,Pekan Nanas,,
Johor,Pengerang,,
Johor,Perling,,
Johor,Permas Jaya,,
Johor,Plentong,,
Johor,Pontian,,
Johor,Puteri Harbour,,
Johor,Rengam,,
Johor,Rengit,,
Johor,Segamat,,
Johor,Semerah,,
Johor,Senai,,
Johor,Senggarang,,
Johor,Senibong,,
Johor,Seri Gadang,,
Johor,Setia Indah,,
Johor,Setia Tropika,,
Johor,Simpang Rengam,,
Johor,Skudai,,
Johor,Sungai Mati,,
Johor,Tampoi,,
Johor,Tangkak,,
Johor,Tebrau,,
Johor,Ulu Tiram,,
Johor,Yong Peng,,
Selangor,Alam Impian,,
Selangor,Aman Perdana,,
Selangor,Ambang Botanic,,
Selangor,Ampang,,
Selangor,Ara Damansara,,
Selangor,Balakong,,
Selangor,Bandar Botanic,,
Selangor,Bandar Bukit Raja,,
Selangor,Bandar Bukit Tinggi,,
Selangor,Bandar Kinrara,,
Selangor,Bandar Mahkota Cheras,,
Selangor,Bandar Puncak Alam,,
Selangor,Bandar Puteri Klang,,
Selangor,Bandar Puteri Puchong,,
Selangor,Bandar Saujana Putra,,
Selangor,Bandar Sri Damansara,,
Selangor,Bandar Sungai Long,,
Selangor,Bandar Sunway,,
Selangor,Bandar Utama,,
Selangor,Bangi,,
Selangor,Banting,,
Selangor,Batang Berjuntai,,
Selangor,Batang Kali,,
Selangor,Batu Arang,,
Selangor,Batu Caves,,
Selangor,Beranang,,
Selangor,Bukit Beruntung,,
Selangor,Bukit Jelutong,,
Selangor,Bukit Rahman Putra,,
Selangor,Bukit Rotan,,
Selangor,Bukit Subang,,
Selangor,Cheras,,
Selangor,Country Heights,,
Selangor,Cyberjaya,,
Selangor,Damansara Damai,,
Selangor,Damansara Intan,,
Selangor,Damansara Jaya,,
Selangor,Damansara Kim,,
Selangor,Damansara Perdana,,
Selangor,Damansara Utama,,
Selangor,Denai Alam,,
Selangor,Dengkil,,
Selangor,Glenmarie,,
Selangor,Gombak,,
Selangor,Hulu Langat,,
Selangor,Hulu Selangor,,
Selangor,I-City,,
Selangor,Ijok,,
Selangor,Jade Hills,,
Selangor,Jenjarom,,
Selangor,Kajang,,
Selangor,Kapar,,
Selangor,Kayu Ara,,
Selangor,Kelana Jaya,,
Selangor,Kepong,,
Selangor,Kerling,,
Selangor,Klang,,
Selangor,Kota Damansara,,
Selangor,Kota Emerald,,
Selangor,Kota Kemuning,,
Selangor,Kuala Kubu Baru,,
Selangor,Kuala Langat,,
Selangor,Kuala Selangor,,
Selangor,Kuang,,
Selangor,Kundang,,
Selangor,Mutiara Damansara,,
Selangor,Nilai,,
Selangor,Pandamaran,,
Selangor,Petaling Jaya,,
Selangor,Port Klang,,
Selangor,Puchong,,
Selangor,Puchong South,,
Selangor,Pulau Indah (Pulau Lumut),,
Selangor,Pulau Carey,,
Selangor,Pulau Ketam,,
Selangor,Puncak Jalil,,
Selangor,Putra Heights,,
Selangor,Rasa,,
Selangor,Rawang,,
Selangor,Sabak Bernam,,
Selangor,Saujana,,
Selangor,Saujana Utama,,
Selangor,Sekinchan,,
Selangor,Selayang,,
Selangor,Semenyih,,
Selangor,Sepang,,
Selangor,Serdang,,
Selangor,Serendah,,
Selangor,Seri Kembangan,,
Selangor,Setia Alam,,
Selangor,Setia Eco Park,,
Selangor,Shah Alam,,
Selangor,SierraMas,,
Selangor,SS2,,
Selangor,Subang Bestari,,
Selangor,Subang Heights,,
Selangor,Subang Jaya,,
Selangor,Sungai Ayer Tawar,,
Selangor,Sungai Besar,,
Selangor,Sungai Buloh,,
Selangor,Sungai Pelek,,
Selangor,Taman Melawati,,
Selangor,Taman TTDI Jaya,,
Selangor,Tanjong Duabelas,,
Selangor,Tanjong Karang,,
Selangor,Tanjong Sepat,,
Selangor,Telok Panglima Garang,,
Selangor,Tropicana,,
Selangor,Ulu Bernam,,
Selangor,Ulu Klang,,
Selangor,Ulu Langat,,
Selangor,USJ,,
Selangor,USJ Heights,,
Selangor,Valencia,,
Perak,Ayer Tawar,,
Perak,Bagan Datoh,,
Perak,Bagan Serai,,
Perak,Batu Gajah,,
Perak,Batu Kurau,,
Perak,Behrang Stesen,,
Perak,Beruas,,
Perak,Bidor,,
Perak,Bota,,
Perak,Changkat Jering,,
Perak,Changkat Keruing,,
Perak,Chemor,,
Perak,Chenderiang,,
Perak,Chenderong Balai,,
Perak,Chikus,,
Perak,Enggor,,
Perak,Gerik,,
Perak,Gopeng,,
Perak,Hutan Melintang,,
Perak,Intan,,
Perak,Ipoh,,
Perak,Jeram,,
Perak,Kampar,,
Perak,Kampong Gajah,,
Perak,Kampong Kepayang,,
Perak,Kamunting,,
Perak,Kuala Kangsar,,
Perak,Kuala Kurau,,
Perak,Kuala Sepetang,,
Perak,Lahat,,
Perak,Lambor Kanan,,
Perak,Langkap,,
Perak,Lenggong,,
Perak,Lumut,,
Perak,Malim Nawar,,
Perak,Mambang Diawan,,
Perak,Manong,,
Perak,Matang,,
Perak,Menglembu,,
Perak,Padang Rengas,,
Perak,Pangkor,,
Perak,Pantai Remis,,
Perak,Parit,,
Perak,Parit Buntar,,
Perak,Pengkalan Hulu,,
Perak,Pusing,,
Perak,Rantau Panjang,,
Perak,Sauk,,
Perak,Selama,,
Perak,Selekoh,,
Perak,Selinsing,,
Perak,Semanggol,,
Perak,Seri Iskandar,,
Perak,Seri Manjong,,
Perak,Simpang,,
Perak,Simpang Pulai,,
Perak,Sitiawan,,
Perak,Slim River,,
Perak,Sungai Siput,,
Perak,Sungai Sumun,,
Perak,Sungkai,,
Perak,Taiping,,
Perak,Tambun,,
Perak,Tanjong Piandang,,
Perak,Tanjong Rambutan,,
Perak,Tanjong Tualang,,
Perak,Tanjung Malim,,
Perak,Tapah,,
Perak,Teluk Intan,,
Perak,Temoh,,
Perak,TLDM Lumut,,
Perak,Trolak,,
Perak,Trong,,
Perak,Tronoh,,
Perak,Ulu Bernam,,
Perak,Ulu Kinta,,
Penang,Air Tawar,,
Penang,Alma,,
Penang,Ayer Itam,,
Penang,Bagan Ajam,,
Penang,Bagan Jermal,,
Penang,Bagan Lallang,,
Penang,Balik Pulau,,
Penang,Bandar Perda,,
Penang,Batu Ferringhi,,
Penang,Batu Kawan,,
Penang,Batu Maung,,
Penang,Batu Uban,,
Penang,Bayan Baru,,
Penang,Bayan Lepas,,
Penang,Berapit,,
Penang,Bertam,,
Penang,Bukit Dumbar,,
Penang,Bukit Jambul,,
Penang,Bukit Mertajam,,
Penang,Bukit Minyak,,
Penang,Bukit Tambun,,
Penang,Bukit Tengah,,
Penang,Butterworth,,
Penang,Gelugor,,
Penang,Georgetown,,
Penang,Gertak Sangul,,
Penang,Greenlane,,
Penang,Gurney,,
Penang,Jawi,,
Penang,Jelutong,,
Penang,Juru,,
Penang,Kepala Batas,,
Penang,Kubang Semang,,
Penang,Mak Mandin,,
Penang,Minden Heights,,
Penang,Nibong Tebal,,
Penang,Pauh Jaya,,
Penang,Paya Terubong,,
Penang,Penaga,,
Penang,Penang Hill,,
Penang,Penanti,,
Penang,Perai,,
Penang,Permatang Kuching,,
Penang,Permatang Pauh,,
Penang,Permatang Tinggi,,
Penang,Pulau Betong,,
Penang,Pulau Tikus,,
Penang,Raja Uda,,
Penang,Relau,,
Penang,Scotland,,
Penang,Seberang Jaya,,
Penang,Seberang Perai,,
Penang,Serdang,,
Penang,Simpang Ampat,,
Penang,Sungai Ara,,
Penang,Sungai Bakap,,
Penang,Sungai Dua,,
Penang,Sungai Jawi,,
Penang,Sungai Nibong,,
Penang,Sungai Pinang,,
Penang,Tanjong Tokong,,
Penang,Tanjung Bungah,,
Penang,Tasek Gelugor,,
Penang,Teluk Bahang,,
Penang,Teluk Kumbar,,
Penang,USM,,
Penang,Valdor,,
Pahang,Balok,,
Pahang,Bandar Pusat Jengka,,
Pahang,Bandar Tun Abdul Razak,,
Pahang,Benta,,
Pahang,Bentong,,
Pahang,Bera,,
Pahang,Brinchang,,
Pahang,Bukit Fraser,,
Pahang,Cameron Highlands,,
Pahang,Chenor,,
Pahang,Daerah Rompin,,
Pahang,Damak,,
Pahang,Dong,,
Pahang,Genting Highlands,,
Pahang,Hulu Lepar,,
Pahang,Hulu Telom,,
Pahang,Jerantut,,
Pahang,Karak,,
Pahang,Kuala Lipis,,
Pahang,Kuala Rompin,,
Pahang,Kuantan,,
Pahang,Lanchang,,
Pahang,Lurah Bilut,,
Pahang,Maran,,
Pahang,Mengkarak,,
Pahang,Mentakab,,
Pahang,Muadzam Shah,,
Pahang,Padang Tengku,,
Pahang,Pekan,,
Pahang,Raub,,
Pahang,Ringlet,,
Pahang,Rompin,,
Pahang,Sabai,,
Pahang,Sega,,
Pahang,Sungai Karang,,
Pahang,Sungai Koyan,,
Pahang,Sungai Lembing,,
Pahang,Sungai Ruan,,
Pahang,Tanah Rata,,
Pahang,Temerloh,,
Pahang,Teras,,
Pahang,Triang,,
Melaka,Alai,,
Melaka,Alor Gajah,,
Melaka,Asahan,,
Melaka,Ayer Keroh,,
Melaka,Ayer Molek,,
Melaka,Bachang,,
Melaka,Balai Panjang,,
Melaka,Bandar Hilir,,
Melaka,Batu Berendam,,
Melaka,Bemban,,
Melaka,Bertam,,
Melaka,Bukit Baru,,
Melaka,Bukit Beruang,,
Melaka,Bukit Katil,,
Melaka,Bukit Rambai,,
Melaka,Cheng,,
Melaka,Durian Tunggal,,
Melaka,Duyong,,
Melaka,Jasin,,
Melaka,Klebang,,
Melaka,Krubong,,
Melaka,Kuala Linggi,,
Melaka,Kuala Sungai Baru,,
Melaka,Lubok China,,
Melaka,Masjid Tanah,,
Melaka,Melaka City,,
Melaka,Melaka Tengah,,
Melaka,Merlimau,,
Melaka,Paya Rumput,,
Melaka,Pegoh,,
Melaka,Rembia,,
Melaka,Selandar,,
Melaka,Semabok,,
Melaka,Sungai Rambai,,
Melaka,Sungai Udang,,
Melaka,Sungei Baru Tengah,,
Melaka,Sungei Petai,,
Melaka,Tanjong Kling,,
Melaka,Tanjong Minyak,,
Melaka,Telok Mas,,
Melaka,Ujong Pasir,,
Melaka,Umbai,,
Negeri Sembilan,Ampangan,,
Negeri Sembilan,Bahau,,
Negeri Sembilan,Bandar Baru Serting,,
Negeri Sembilan,Bandar Enstek,,
Negeri Sembilan,Bandar Sri Sendayan,,
Negeri Sembilan,Batang Melaka,,
Negeri Sembilan,Batu Kikir,,
Negeri Sembilan,Bukit Kepayang,,
Negeri Sembilan,Gemas,,
Negeri Sembilan,Gemencheh,,
Negeri Sembilan,Jelebu,,
Negeri Sembilan,Jempol,,
Negeri Sembilan,Jimah,,
Negeri Sembilan,Johol,,
Negeri Sembilan,Juasseh,,
Negeri Sembilan,Kota,,
Negeri Sembilan,Kuala Klawang,,
Negeri Sembilan,Kuala Pilah,,
Negeri Sembilan,Labu,,
Negeri Sembilan,Lenggeng,,
Negeri Sembilan,Linggi,,
Negeri Sembilan,Lukut,,
Negeri Sembilan,Mantin,,
Negeri Sembilan,Nilai,,
Negeri Sembilan,Pantai,,
Negeri Sembilan,Paroi,,
Negeri Sembilan,Pasir Panjang,,
Negeri Sembilan,Pedas,,
Negeri Sembilan,Port Dickson,,
Negeri Sembilan,Rantau,,
Negeri Sembilan,Rasah,,
Negeri Sembilan,Rembau,,
Negeri Sembilan,Rompin,,
Negeri Sembilan,Senawang,,
Negeri Sembilan,Seremban,,
Negeri Sembilan,Seremban 2,,
Negeri Sembilan,Sikamat,,
Negeri Sembilan,Siliau,,
Negeri Sembilan,Simpang Durian,,
Negeri Sembilan,Simpang Pertang,,
Negeri Sembilan,Sri Menanti,,
Negeri Sembilan,Sri Rusa,,
Negeri Sembilan,Tampin,,
Negeri Sembilan,Tanjong Ipoh,,
Negeri Sembilan,Telok Kemang,,
Negeri Sembilan,Titi,,
Kedah,Alor Setar,,
Kedah,Ayer Hitam,,
Kedah,Baling,,
Kedah,Bandar Baharu,,
Kedah,Bedong,,
Kedah,Bukit Kayu Hitam,,
Kedah,Guar Chempedak,,
Kedah,Gurun,,
Kedah,Jitra,,
Kedah,Karangan,,
Kedah,Kepala Batas,,
Kedah,Kodiang,,
Kedah,Kota Sarang Semut,,
Kedah,Kuah,,
Kedah,Kuala Kedah,,
Kedah,Kuala Ketil,,
Kedah,Kuala Muda,,
Kedah,Kuala Nerang,,
Kedah,Kubang Pasu,,
Kedah,Kulim,,
Kedah,Kupang,,
Kedah,Langgar,,
Kedah,Langkawi,,
Kedah,Lunas,,
Kedah,Merbok,,
Kedah,Padang Matsirat,,
Kedah,Padang Serai,,
Kedah,Padang Terap,,
Kedah,Pendang,,
Kedah,Pinang Tunggal,,
Kedah,Pokok Sena,,
Kedah,Pulau Langkawi,,
Kedah,Serdang,,
Kedah,Sik,,
Kedah,Simpang Empat,,
Kedah,Sungai Lalang,,
Kedah,Sungai Petani,,
Kedah,Teloi Kiri,,
Kedah,Temin,,
Kedah,Univesity Utara,,
Kedah,Yan,,
Terengganu,Besut,,
Terengganu,Cabang Tiga,,
Terengganu,Dungun,,
Terengganu,Hulu Terengganu,,
Terengganu,Kemaman,,
Terengganu,Kerteh,,
Terengganu,Kijal,,
Terengganu,Kuala Ibai,,
Terengganu,Kuala Terengganu,,
Terengganu,Marang,,
Terengganu,Setiu,,
Kelantan,Ayer Lanas,,
Kelantan,Bachok,,
Kelantan,Cherang Ruku,,
Kelantan,Dabong,,
Kelantan,Gua Musang,,
Kelantan,Jeli,,
Kelantan,Kem Desa Pahwalan,,
Kelantan,Kenali,,
Kelantan,Ketereh,,
Kelantan,Kota Bharu,,
Kelantan,Kuala Balah,,
Kelantan,Kuala Kerai,,
Kelantan,Machang,,
Kelantan,Melor,,
Kelantan,Padang Enggang,,
Kelantan,Pasir Mas,,
Kelantan,Pasir Puteh,,
Kelantan,Pengkalan Chepa,,
Kelantan,Pulai Chondong,,
Kelantan,Rantau Panjang,,
Kelantan,Selising,,
Kelantan,Tanah Merah,,
Kelantan,Tawang,,
Kelantan,Telok,,
Kelantan,Temangan,,
Kelantan,Tumpat,,
Kelantan,Wakaf Baru,,
Sabah,Beaufort,,
Sabah,Beluran,,
Sabah,Bongawan,,
Sabah,Keningau,,
Sabah,Kota Belud,,
Sabah,Kota Kinabalu,,
Sabah,Kota Kinabatangan,,
Sabah,Kota Marudu,,
Sabah,Kuala Penyu,,
Sabah,Kudat,,
Sabah,Kunak,,
Sabah,Lahad Datu,,
Sabah,Likas,,
Sabah,Membakut,,
Sabah,Menumbok,,
Sabah,Nabawan,,
Sabah,Pamol,,
Sabah,Papar,,
Sabah,Penampang,,
Sabah,Pitas,,
Sabah,Putatan,,
Sabah,Ranau,,
Sabah,Sandakan,,
Sabah,Semporna,,
Sabah,Sipitang,,
Sabah,Tambunan,,
Sabah,Tamparuli,,
Sabah,Tawau,,
Sabah,Tenom,,
Sabah,Tuaran,,
Sarawak,Bintulu,,
Sarawak,Kuching,,
Sarawak,Miri,,
Sarawak,Sibu,,
Perlis,Arau,,
Perlis,Kaki Bukit,,
Perlis,Kangar,,
Perlis,Kuala Perlis,,
Perlis,Padang Besar,,
Perlis,Pauh,,
Perlis,Simpang Ampat,,
Perlis,Titi Tinggi,,
